Name,BPS,PER,PBR,EPS,DIV,DPS
이노션,42482,11.91,0.99,3530,5.11,2150
ESR켄달스퀘어리츠
KG스틸,16907,1.56,0.49,5357,1.8,150
롯데리츠
세아베스틸지주,52580,8.98,0.44,2572,5.19,1200
PI첨단소재,11627,18.02,2.41,1557,2.78,779
다우기술,53655,2.1,0.34,8634,3.31,600
DL,194062,14.35,0.2,2679,2.6,1000
아시아나항공,9289,21.75,1.17,498,0.0,0
세아제강지주,372105,2.82,0.52,68897,1.16,2250
제이알글로벌리츠
넥센타이어,16520,0.0,0.49,0,1.23,100
LG전자우,0,0.0,0.0,0,1.65,750
미래에셋생명,10179,9.97,0.43,441,0.0,0
미원상사,70659,10.86,2.27,14752,0.94,1500
율촌화학,13460,0.0,2.32,0,0.8,250
하나투어,7960,0.0,5.95,0,0.0,0
SK디스커버리,153209,1.85,0.26,21631,4.25,1700
더블유게임즈,43874,0.0,0.95,0,1.44,600
비에이치,17692,4.83,1.24,4551,1.14,250
삼부토건,975,0.0,3.77,0,0.0,0
대신증권,40616,8.22,0.35,1750,8.34,1200
프레스티지바이오파마
동양생명,12252,9.37,0.36,475,0.0,0
SNT모티브,66442,7.5,0.73,6470,3.3,1600
녹십자홀딩스,23095,20.63,0.65,727,2.0,300
HSD엔진,3099,0.0,3.14,0,0.0,0
경동나비엔,35820,12.88,1.33,3707,1.05,500
보령,7833,15.88,1.29,636,0.99,100
신세계인터내셔날,23264,5.83,0.83,3313,2.59,500
쿠쿠홀딩스,31140,5.15,0.62,3755,4.14,800
애경케미칼,15115,11.27,0.93,1249,3.91,550
HDC현대산업개발,43919,13.35,0.23,764,5.88,600
F&F홀딩스,52493,5.05,0.33,3384,2.05,350
진에어,2116,0.0,5.95,0,0.0,0
미원에스씨,75680,10.15,1.73,12932,1.75,2300
KCC글라스,90484,6.91,0.45,5894,5.9,2400
태광산업,4906107,1.43,0.12,406090,0.3,1750
대상,37616,7.93,0.49,2306,4.38,800
동아쏘시오홀딩스,157100,55.21,0.63,1784,1.52,1500
DI동일,31182,8.44,0.76,2803,1.06,250
동아에스티,78380,43.91,0.88,1576,1.01,700
애경산업,13672,36.0,1.66,632,1.36,310
삼양홀딩스,240995,7.64,0.29,9173,4.99,3500
NICE평가정보,5732,11.15,1.71,882,3.76,370
삼성화재우,0,0.0,0.0,0,7.39,13805
동원F&B,45847,6.58,0.68,4711,2.26,701
LX홀딩스,21133,3.56,0.37,2190,3.97,310
SK렌터카,11371,27.53,1.11,457,1.19,150
한국카본,9394,28.26,1.42,471,0.98,130
SPC삼립,48007,10.17,1.39,6568,2.54,1700
자화전자,17892,0.0,1.45,0,0.0,0
대한해운,4912,3.48,0.36,507,0.0,0
일동제약,7140,0.0,2.89,0,0.0,0
한국단자,84382,11.29,0.63,4723,1.31,700
롯데손해보험,1451,0.0,1.23,0,0.0,0
KG케미칼,11474,1.69,0.69,4677,1.26,100
신한알파리츠
케이카,5112,17.8,2.2,631,6.77,760
현대홈쇼핑,171103,5.95,0.26,7541,5.79,2600
신성이엔지,1036,15.57,2.52,168,0.0,0
한화투자증권,7273,0.0,0.34,0,0.0,0
바이오노트,15707,1.59,0.33,3277,9.4,490
티웨이항공,371,0.0,7.09,0,0.0,0
